Canal,Fecha,categoria,sku,marca,descripcion,precio
Costco,04-04-2024,,682312,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$10,599"
Costco,04-04-2024,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499"
Costco,04-04-2024,,683208,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$9,999"
Costco,04-04-2024,,683209,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$11,599"
Costco,04-04-2024,,682218,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$13,599"
Costco,04-04-2024,,674429,"De'Longhi,","De'Longhi, Calentador de Aceite Portátil, TRLS0715EL","$2,599"
Costco,04-04-2024,,680995,"Carrier,","Carrier, Aire Acondicionado Ventana De 12,000 Bus a 110V, Sólo Frío","$7,699"
Costco,04-04-2024,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,999"
Costco,04-04-2024,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi","$17,999"
Costco,04-04-2024,,682318,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$14,999"
Costco,04-04-2024,,669602,"Carrier,","Carrier, Aire Acondicionado, Minisplit Inverter con Wi-Fi, solo enfriamiento, 18,000 BTU, 19 SEER, 220V","$14,999"
Costco,04-04-2024,,682324,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$18,999"
Costco,04-04-2024,,676414,LG,"LG Aire Acondicionado Portátil Inverter, LP1419IVSM, Solo Frío, 115V, 1 Tonelada, 14,000 BTU/h, WiFi","$12,499"
Costco,04-04-2024,,677139,LG,"LG Aire Acondicionado ArtCool Inverter, VR122CW, Solo Frío, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,499"
Costco,04-04-2024,,677141,LG,"LG Aire Acondicionado ArtCool Inverter, VR182CW, Solo Frío, 220V, 1.5 Toneladas, 18,000 BTU/h, Wifi","$16,999"
Costco,04-04-2024,,677143,LG,"LG Aire Acondicionado ArtCool Inverter, VR242CW, Solo Frío, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$19,999"
Costco,04-04-2024,,677150,LG,"LG Aire Acondicionado DualCool Inverter Tipo Ventana WiFi Solo Frío14,000 Btus VW151CE","$10,999"
